,clean_data,sentiment
1895,Wondering why it's so cold the skylight is open I left the gas on this morning,neu
2836,Goodnight is not on the trending topics lol,pos
1601,Disappointment really sucks I'm getting used to it,neg
938,Watching Leno for the second to last time on the Tonight Show,neu
1377,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair Dang,neu
1275,you stop it,neg
2761,Least u can get some more Im broke,neg
1109,I heard your moving to Sydney next year im not happy,neg
1410,wanted to change my handset covers pen drives and a headphone in some place .. guess its not happening ...,neu
2178,1ly morning to cycle to work but met with a 29 degree office,neu
553,my sister is a douchebag,neg
1548,Last night in Australia,neu
621,My nose is stuffy,neu
2644,3 hours sleep last night all of my being wants to crawl into a ball somewhere and sleep for about 5 more hours At work till six too,neu
2850,Already 26.1 c in our office Can people melt We're fighting for air con because fans just don't help but can't find the budget,neg
572,your twitter is broken,neg
2798,wishing my days off were the same days that people wanted to party,pos
2507,Curse you breakfast gods ... full bowl of cereal not enough milk,neg
1929,true that don't know why i bothered this morning cos I just put it up in a pony soon as I got to work anyways,pos
418,how I wish my parents put me into a Chinese school when I was younger Then it'll be so much easier for me to get a job ...,pos
867,On my way to nottingham .. I so don't want to be going,neg
2517,Sleep ... take two ... this better work,pos
1190,says I'm still dreaming about that Nikon D60 .. erRr ate kuya PLEASE lang huhuh http://plurk.com/p/wxrx5,pos
1005,has had the flu pass unto me by andy ... went shopping and got fresh chicken for chicken soup ... but no d amp,neg
1473,I was rooting for Betty,neu
1511,Just awoke in a completely freaked out frantic frenzy It's going to be a long night,neg
1476,crash in Qmbol,neg
10,cant fall asleep,neu
575,I even saw the news feeds of the archie website But can't believe he'd choose veronica I'm disappointed,neg
2444,Marley and me is the saddest movie ever I never cry in movies but this movie mad me cry,neg
2038,I'm still working,neu
1412,There is something wrong with me I'm so tired I can barely keep my eyes open Yet all I've done for the last 3hrs is toss amp,neg
909,Its weird being at the guy's house without them here I don't like it,neg
654,I miss my friend,pos
1521,looks like my ION-based mini-itx board won't ship until mid-June now at the earliest,pos
2570,what a 1ly summery morning Shame I have to be in work,neg
472,Lakers baby Lakers I'll miss the game tmwr I have to work you'll have to keep me posted please,pos
1962,wondering where all the money i earnt this financial year has gone ... i can account for like 3 grand but wheres the rest,pos
117,damn it were is Eric or anyone else when you need your hair to be played with,neg
2047,uff ble litt trist av ï ¿ ½ lese den siste tweetsen din the challenge prooved too be tough :'(,neg
979,NO FREE WIFI My vacay is ruined,neg
2073,Just got home after walking the dogs Very humid in Kaneohe No AC in my home Ceiling fans work,neg
2318,I no longer have a ticket for ny,neg
2448,Cars been dropped off for service and mot getting the train home 0 public transport,neu
934,I have drunk hickups I had a pretty laid back great night But I still can't help but be mad about the situation I put myself in,neg
3003,urgh my head is banging,neu
156,where are all ma bestfriends at MIA or wat,neg
531,Got home from work 9:45 and JUST finished cleaning Now I need to eat dinner and don't know what I want Ugh ... oh well Might not eat,neg
2974,3-4 hours sleep last night barely 1ctioning,neu
2575,RAIN AAAAAAAAAAHHHHHHHH i'm gonna melt damn it's cold freakin cold brrrrrr,neg
2990,I don't know what this is all about but I'm goin to sleep,neu
436,needs to have an increase on her salary http://plurk.com/p/wxluu,pos
2807,daddy wanted to buy me shoes but they were prettie esspensive so nao I haff to go bearfoot,neu
1687,my stupid msn wont sign in,neg
1757,1 month ahaha AND i dunno if I can go tomorrow LMAO cause i went today Freakin filipino parents AHA,pos
702,wants see my friends,pos
914,Business exam tomorrow,neu
1560,Dude ... That sucks Why would they tow it from your own space,neg
2267,Eating pringles at nearly 1 AM really reminds me of touring with the Jonas Brothers don't ask ... I miss that so much ...,pos
2284,chapter 27 ... probably on monday i still need more comments,neu
1486,is really ultra bored,neg
2466,haha i 1 1s i don't work til sunday tho so i have to wait,pos
618,plus I just deposited tax return cheque but for first time in 7 years it didn't clear immediately,neg
569,gosh ... summer vacation is almost over here at the philippines .. kinda sad .. i wonder what section will i be in,neg
2469,Its friday and i'm sick story of my life ...,neg
1044,suuure,neu
2238,yep i wish they were all playing dubiln,pos
2381,Being dragged round Ikea this morning Bad times,neg
385,FB is boring and i wanna sing RIGHT NOW ..,neg
743,that makes me sad for you,neg
825,my thoughts dwell on a certain person,pos
1106,this sucks i'm tweetless ... and i f'n 0 money why does it have to be an issue,neg
333,Hahahaha It's not horrible if others were singing with I'm sure it could work I wish I could afford my own drum set,pos
1637,BOOYA Sup Tweeps Happy inFAMOUS day to you all off to get it very soon Can't wait to play need to find some more time though,pos
2180,0s typing on a mac wishing that i'll be done my english essay soon sleeeepy,pos
49,wnna take a bath,neu
1798,penis i hope you made sure it's okay D:,pos
2574,no sorry twitter sucks balls since the replys change #fixreplies,neg
1068,http://yfrog.com/11z2ip nothing there,neu
1042,... that's all,neu
485,http://twitpic.com/662vk WHY DO U LOT MOCK ME,neg
2834,i miss my daddy,neg
298,YEA I GOTTA BE UP AT 7:30,neu
2560,i lost all my friends i'm alone and sleepy .. i wanna go home,neg
1612,i mean monday take the test monday please o please,pos
1922,OMG My sister got my brother a quot,neu
33,feels strong contractions but wants to go out http://plurk.com/p/wxidk,pos
2883,Maybe I'm lacking in Friday feeling cos more of my trousers won't go on Thunder thighs,pos
2480,Going to miss my roomie ... We will no longer be roomies starting tomorrow,neg
682,LOL very true Maybe next year I loooved that siggy and I don't remember what the password for the mod thing was Cake,pos
570,But is on page 6 at Ms Twitterworld only 26 votes,neu
227,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,pos
1824,My head hurts,neg
311,yeahhh amp,neu
2770,Hear full album preview during todays webcast #jonasnewsongs NO WAYYY I couldn't tune in,neg
977,FYI no internets until THURSTAG after saturday i have a feeling i will become 800x more productive during those days,pos
2726,good morning to you No wait its evening You still have a whole day of work to go before the weekend,pos
751,Why do we 1 those that we cannot have,neu
1084,Its so Fucking hot Damn no air conditioning,neg
2651,what Brody how dare u,neu
923,farewelling an employee tonight ...,neu
1749,Did 2dives w Oceans Deep Dive 10m vis no sun no colours Dynamite fishing has done it's toll on the reefs,neg
1063,I CAN'T My heart aches for her children I wanna adopt alexis,pos
2427,This headache is killing me yet I need to cover some boring police event,neg
2374,My dead grandpa pays more attention to me than you do,neg
1311,feels really sick,neg
2246,lunch at 5.30 pm,neu
2325,Wow been away 4 a while ... stupid lap top is in the shop ... still Hope everyone is well,pos
2713,nan,neu
880,If it makes you feel better I lost 10 overnight cause I posted a picture of a baby,pos
224,out with amp,neu
1840,i have much to learn,neu
23,I ate Something I don't know what it is ... Why do I keep Telling things about food,neu
2106,i wanna go out,neu
2672,driving lesson then off to ikea with the mother and finally work today is going to be wank,neu
545,I'm not at home with my cats right now,neu
933,Where I live all the small markets deliver their day-old bread to the food bank but times are really tough even for me,neg
2057,Son's 15th Birthday this weekend.Taking him out for a Mexican meal and a major game buying spree I miss the Lego days,neg
951,i miss rich,pos
1399,Wants milk,neu
138,I know But like I said I have no idea how long it takes for them to investigate this stuff,pos
2061,Certain tweets I write are on the spot messages for a person group or pornstar and those tweets usually get deleted within the hour,pos
1244,I miss u guys too I prob won't b bk til august sumtime ... But if I come bk anytime b4 then ill 4 sure let u kno,neg
1059,Summer Glau to appear in Dollhouse next year http://tinyurl.com/mnrezc ... I still can't believe they won't renew TSCC,neu
1897,I can't go to sleep until tech support emails me back,pos
2998,Came out of my house this morning to the stink of cat poo I have cats doing their business in my little bit of garden,neg
1853,Am in the place called 0UT OF NOW WHERE Take me out from here somebody http://myloc.me/1XRI,neu
352,I'm a bit Ben's Thai-ed out,neu
1013,my phone still doesnt tweet,neu
962,New Comment On Jowki I wish I had the time to blog more often http://cli.gs/ZzRe1P,pos
1065,goodnight everyone,neu
1577,Gday ... Do you know if NHibernate has issues with COM Interop VB6 lt,neu
2407,I wish I had company,pos
2724,yea me too lol,pos
252,No re1ds but they do retrieve accounts takes like a week Just hoping the thief doesn't use hacks or then it's permaban,pos
1049,ohh sorry thats someone else's pic my bad,neg
2263,E docs are getting younger these days.can u guess where am i yup NUH paying my ear doc a visit Ouch,neu
182,did you get them from california vintage ahahah they have the BEST dresses i want them but i dont have ebay,pos
2109,Surgery when I wake up,neu
2803,Been rebuilding my Dev machine after a disk crash last night,neg
2055,sometimes spam leaks in to the message board,neg
1037,just got home after killing a possum,neg
1708,Is there a way to block followers I have no idea who you are . . Sorry ..,neg
2996,is going back home 1 ya Zagrebe lt,neu
461,I miss my mom .. quot,neg
3009,Got a day of painting,neu
2297,blimey You're still suffering,neg
1301,yup .. sad eh .. Betty man .. it should have been betty,neg
543,My little foster kittens are getting big ... chubba and Winston are going 2 b missed when they get amazing homes,pos
1081,feels disappointed .. mahirap talaga mag-supervise ng tao .. http://plurk.com/p/wxqwa,neg
1423,Time for bed oh how I wish someone was laying next to me,pos
305,me too,neu
578,Getting ready for school second maths test today also its my last day of 3rd year Next week i will officially be in 4th year,pos
2396,Sometimes I have a pillow and sometimes I don't,neu
2845,You must be scared to be trolling here You guys are so sad #tcot #right,neg
1715,i really don't want to go to the eisteddfod concert tonight it would be ok if i didnt have to wear the dumb band uniform,neg
2760,Have been feeling very sick had day off today ... ARRRGH,neg
953,disappointed to know that I got the Silver Award I want the GOLD award I 0 being second best,pos
380,is home safely ... but hungry,pos
1746,worked out tonight had to work off the Cheesecake I ate todAY To all the pple who are on a diet .. DON'T QUIT It's not worth it,neg
615,finished a whole box of ice cream,neu
1944,Gudafternoon twitter followers .. Hey m giving u chance now to help me get a gud placement .. m still maintaining a jobless profile ...,pos
1761,Hi Mel if you feel unhappy just take a bit of fries but don't overdo If can help it don't,pos
1693,Heavily medicated but can't sleep Ugh ...,pos
1009,Wish I lived in or atleast relatively close to Ohio Haven't seen or in almost a year,pos
2730,ugggh idk how to do that but i only wanna stop getting texts from twitterr ilsE,neg
1894,alice doesn't know what to wear to the cinema lt,neu
1625,MISS YOU TOO,neg
2951,driving around for 3 hours going nowhere is not as 1 as it seems i missed my singing lesson,neg
879,I luv urs admitting niley with a kiss (: but then they change their minds haha amp,pos
1825,I just managed to stab a piece of bhuja hot of course into the roof of my mouth Blood everywhere well at least in my mouth,neg
2358,Not well again it's definitely not hayfever,pos
189,where are you In Bris I can't hear any thunder,neu
2041,Gone r the days wen we used to sit 4 exams .. no more exams no more classes no more bunking n no more 1 ..,neg
1465,Had a good day till he twisted his ankle on his two mile run,pos
2060,boo for all the season finales ..,neu
2522,the geek the stepson and the live in nanny 1 BGT me can't stand it Had to watch TV upstairs all alone,neg
936,Ugh Too much happened today I really need a hug,pos
2328,Planning a road trip down to San Diego With a detour into Vegas to celebrate my birthday Too bad it's 7 wks away I want to go now,pos
1302,they shot him he was still alive too ...,pos
410,I'm awake Anybody else awake Wish I lived in the US since all the 1 happens when I'm asleep,pos
2679,Is de examens al beu,neu
2447,they got attacked by the club,neg
248,With friends like VaikO Nedumaran LTTE didn't need enemies Wrong advice at wrong time led to numerous deaths a lost cause as well,pos
70,I cant give any bday nudges,neu
2368,Looks like I'm on tea duty all day,pos
15,The storm is here and the electricity is gone,neu
643,I was a very naughty girl tonight dissappointed with myself,neu
179,OMG Ur alive LOL 2day has gone sooo slow I'm going insane Grrr You doing anything tonight,pos
1593,ur right i dont have a reason to be up early but im sure my niece will be in my room in a few hrs botherin me,pos
1324,ive been there before haha,pos
1122,Got a flat on the way in today Pot hole Another thing to tick off the quot,neu
2438,I am like the most saddest person on jtv right now because you are not on,neg
2329,is MySpace mobile free or do u have 2 have credit ... cause they are liers,pos
1256,why are you sad,neg
1047,now aches amp,neg
998,I signed up for an account on a political website so I could post a comment but it isn't working,neu
672,I didn't end up really eating had more snacks sigh,pos
316,Waiting in line tryst,neu
2200,yeh still have the weekend but I get weekends anyways today is my full last day of vacation time,neu
2332,Flight to hurghada delayed 7 hours,neg
582,Upsidedown tomato plants died,neg
775,friends from Traveller's Tales held a farewell party for me but I kinda disappointed them that I would still be here until Sep My fault,neg
1955,FANTASTIC IDEA .. you the man but I'll end up all lonely when the tourist goes home,neg
820,sooo ... Hot in here hufff ...,neu
1972,Aww sad now stupid crapped up phone and deciding that you would go and screw yourself up and never again work arghhh,neg
1264,two macaroons go into a bar ... one says oh your a nut wow I need to get out more,pos
1724,it seems my phone is dying boo,neu
496,I met a str 0 just 10 min ago He was stalking me at the store,neu
2044,what a waste of lives ... http://tr.im/mLou,neg
2443,oh poor you atleast get paid for staying back or,neg
791,Downloadfestival's lineup isn't as good as i thought it was There are some other awesome bands doing the festivals but missing DL,neg
1043,Rawr and whatnot I am having a godawful drawing night tonight ... even less progress has been made than I expected,pos
317,Hope I get a job cuz we need an apartment I'm drunk amp,pos
1703,oops Cy's place is too near Trouble for me,neg
850,Nursing bruises from motorbike crash on Wednesday night leaving London workplace The ground is so much harder the older you get,neg
587,Caan't Iht Be Earlier ICant Wait That Long Ahar (:,pos
1327,Their songs make me want to cry ..,neg
2472,Where's yummiest Pan Mee For me it's behind Dance Center Ipoh Garden South and i miss it,neg
2766,3rd day of pain,neg
1184,sometimes going and doing other stuff cures that,neu
124,youstinkatrespondingtotexts,neu
276,i'll miss y'all back ... give my regards ...,neg
1074,Not actually managed to purchase anything from the ovi store yet Constant server error on check out,neg
2527,Enjoying the nice couple dad with my brother to bad we never really see each other anymore ...,pos
2720,if I drive home now I think I am breaking the laws Tooooooo many dranks Toooooo many I am stuck in MF burbank,neg
1449,I feel sick .. like don't wanna get out of bed be bothered don't go 2 work turn da light off pull da shades n tv off type of sick,neg
1094,my knee is killing me im off to bed,neg
1998,ouch epic bruise between my toes and a lump just under my ankle bad times,neg
704,L A said quot,neu
1856,I want to ride my bicycle today but it's too cold and cloudy today,neu
2915,was there going to be a recording of with the needle that stings in her heart on youtube or something i missed the stream,neg
1330,Sigh It is a sad lonely profession,neg
1318,translation complicated sh-t that someone is going to have to teach me,neu
2270,yummy chocolate cake .. wish even i got one for my b'day anybody listening,pos
2612,I'm bummed that I didn't get TEDx tickets,neu
2255,Lucky Rob ... always gettin the T8 s from Emalon,neg
2606,YoYo door nazis refused me entry on account of no ID gutted Heard it was a good night tho .. Next time I'll come prepared,pos
1670,Good night twitter friends I'm nodding off at the puter,pos
192,I had a dream about a pretty pretty beach and there was no beach when I woke up,pos
2258,TOLD YOU,neu
1846,Your youtube account is down,neu
9,I'm sorry at least it's Friday,neg
896,Ya the weather has been super weird here It looked like it was gonna rain today but of course it didn't darnitt,pos
1581,It is so unfair Hustlaball US citizens working here Personal Appearances Expectations Prowler can I do that there,neg
2064,using my brothers G1 phone .. 1 it driving to vegas ... my phone died this morning and my charger broke,neg
675,sorry guys i have to drop out of the trip ... some personal commitments ..,neg
1222,yeahh yeah its the hifi lol grr dads being a pain he said if i dont find anyone to go with i cant go,pos
2911,it was just the handle tg,neu
69,So great to see Oin Cynthia So happy Dinner was great cute little place Too bad Oin got sick afterwards,pos
1943,Why Telstra Why do you are biggest Teleco have to be so greedy we need fast Internet and NO Download Caps,neg
687,Loving lil ken and absolutely dreading saying goodbye in less than a week,pos
1300,i wish people would leave jon amp,pos
2530,Just got finished watching marley and me and I cried like a fucking baby ... I'm missing my beast like crazy,neg
2215,10 days to recover from ligament damage from now will give me about 3 days to train for the 5k,neg
2485,dreading work tomorrow wish I had one more day off,neg
2727,yes i 1 it its just a little bit complicated because i want it on my BB but it doesnt work,pos
779,gonna get off to try and catch some Z's no more high school after tomorrow which really sucks i wish i didn't have to grow up,neg
2717,Aww I heard I just missed you two amp,neg
776,night 5 not talking to my victor i'm so bored at night now grrrr i 0 this shit,neg
1935,Good Morning it's beautiful here today Shame I'm going to spend most of the day being an unpaid taxi driver,pos
1765,it's about rain here or it's just plain cloudy i don't know which ...,neu
1199,guess I have to get dressed and be pretty then,pos
259,aw u can't let me in on the secret,neu
971,Bah I don't think s FB fan page will get to 7500,neg
489,In the Hongkong International Airport Has to wait for 3-4 hours for our next flight to Cebu,neu
196,Umm yeah That's probably a pretty good note to self because eeeeeewwwwwwww,pos
2870,what's that The sun No sign here,neg
2573,yeahhh u wasnt thereeeeeeeeeee,neu
1592,Listening to some nice music .. I think I should go to bed now so I get nice and rested but i'll miss Russel Brand's Ponderland,pos
2667,I hope I get the job so I can have some steady income and start eating well again All the cheap food is horrible for you,pos
2962,I hereby proclaim it to officially be summer as it is AWESOME today But I'm stuck inside a chilly office,pos
2012,blech ... thats a fail when you're receiving dollars I quoted a job in USD last month i'm getting paid now major losses,neg
2828,that was pretty lame babe,pos
514,is desperatly hoping my dad takes me to vanessa's game,pos
849,And trash repops Getting it tomorrow night I suppose,neu
1554,wish u could rub my head too,pos
302,think i may have broke a toe at the bar tonight ... thanks drunk girl for steppin all over me,neg
2072,need to pass the exams,neu
628,Wish I could attend E3 this year But these small events like the NBA and Stanley Cup Finals keep getting in the way Work work work,pos
148,RIP leonardo You were a great mini fiddler crab,pos
2959,I missed Match Game tonight I hope I make it tomorrow night,pos
1811,what do you mean jorx,neu
1230,Bike trail 1 Miss J 0 two front teeth 1 1/2 .. Hopefully Vacations suck,neg
2499,0s karma down bakit kse nilagnat aq khpon http://plurk.com/p/wy4ju,neu
536,morning again I 0 mornings So offensive,neg
2476,Nice action shot http://bit.ly/m8zfx I miss working a pole,pos
338,I didn't think anyone caught that,neu
228,But yeah ... I'm sad about my quot,neg
1138,I want a Monte Cristo sandwich sooo ... BAd,neg
2014,First time I'm going home early sucks to b single no one to call,neg
2813,I miss you terribly,neg
290,bored now because i was talking to someone but now they're busy with something else just kinda a bummer idk,neg
1023,oh my ... now im offended ha,pos
1647,I think I might have to break down and purchase some from the US just because I donot know what to call it over here,neu
2230,is bored at school and my throat it swollen,neg
2065,huhuhu still working to get new clients in motion graphics,neu
2572,This already feels like one of those days where I just won't be able to win,pos
235,yeah it's terrible cockatoos are the hardest to live with so emotional good thing he found you though,pos
648,scratch that,neu
322,wicked what time you leaving how come you cant stay the night,neg
1414,my HD is full need to cleanup a lot,neu
935,why do i think i have to take medicine cuz i was laughing to hard my head should not be in this much pain i thought laughter was gud,pos
663,0s having to sleep alone,neg
1025,yes it was good 2 see them laught at each other but that poor lad asking his mum dad 2 kill him,neg
562,stop talkin about food haha fill like sum nw hha hows your day goin or starting,pos
2771,Trying to get some sleep but cant i gotta wake up early for my doctors appointment too ugh,neg
480,I'm poorly and can't sleep,neu
2017,umm ... why will it not let me change my background im twitter-challenged,neu
137,miss 16 th,neg
465,i feel the same way every day,neu
1374,sigh ... it's always so sad when you watch the series finale ... no more green wing left to watch,neg
1830,thinks Coast Capital sent her work number to telemarketers,pos
1261,I miss the concert Tuesday already I'd really like a time machine to go see it again ... It was so 1 ...,pos
1293,insomniac over here as well,pos
2053,dude you didn't even say bye,neu
1665,the non-Europers managed to dump the sun here its gonna be a hot time now,neg
1836,http://bit.ly/LaZEL Wow Christian Lacroix bankrupt .. sad,neg
1236,aww you're going back to east coast again i haven't even seeen you,neu
2794,Was woken up by my screamin lil nefuew,neu
399,my computers broken and I broke my laptop so I had to use the phone ahh still on he cause they fucked up my order,neg
1095,I know He didn't ask me,neu
1646,Where's a bridge when you need one ... FUCK,neg
245,I feel the same way but I guess no matter where you are there will always be memes,neg
234,omg the concert was awesome madrigals gave me chills on almost every piece ... brooks also called up alumni but i didnt get to go,pos
242,sometimes i wish things could go back to the way they were the beginning of last summer,pos
2108,missing my man two months is so long to not see him,neg
2622,where u goin,neu
1839,i got a messgae but it didnt work cause i have a text saver not like money credit im sad now wat do i do xoxo,neg
921,Tummy hurts,neg
1078,Good morning my sexy twitter how's yall doing I'm gd but it's like 7:49 am n I still wanna sleep,pos
2130,i wish i wasn't all bummed but i kinda am,pos
674,ups ketauan cabut nih gimana dong,neu
1187,Insomniaaaaaaa ... all night trying to get a sleep ... no luck ... and now have to work,pos
1014,Good idea Brain you can't not be on Twitter ...,pos
2812,another letter for you this one car insurance ouch,neu
1224,I just watched 7 pounds maaaannnnnnnnn,neu
2394,going to bed ... with NO sexy time UGHHH,pos
599,PC I agree ... We have a problem We must stop spending and only work,neg
1764,but i think the choco diet is worse cuz every time ur hungry ur only allowed to eat a tiiiny piece of chocolate D:,neg
565,First my work computer now my home laptop is fucked,neg
53,time diff and i've just been wrapped up in day to day stuff so i havent been tweeting talk soon must sleep ... up in 6hrs,neu
2689,Aw it says the pic doesn't exist anymore,neu
634,i can't add you on myspace girly it asks for a last name and email,neu
1240,Oh man Did Yogg today Worse than last week,neg
547,Know what would be great For my shoulder to stop hurting so I can sleep normal again I just want need a few solid hours of good sleep,pos
2277,same Was going to try warm milk but I'm lactose intolerant haha,pos
1455,Why don't we close the library due to the great weather And the ac isn't working #fb,pos
1255,Worried about the reply after sending THE SMS to 78277,neg
2421,#freakyfriday Slipped in the shower and fell Lucky to escape with just a couple of concussions,pos
2716,why thx #webdu I was only at the conf on Thurs,pos
2102,akhrnya The Hills nggi .. 90210 nya macet 2 .. HIMYM cm ada season 4 pdhl gw nyari season 3nya,neu
446,Ugh my internet was down,neg
1758,why the fuck am I on twitter,neg
993,No but it does amazing things with keeping all your online conversations in one place ... unfortunately that place is Google,pos
600,#jonaswebcast i just missed it,neg
2656,we are looking forward to daddy returning from work on Saturday He's been gone a whole month,neu
1736,Need to come up with another blog post today But for now I AM SLEEEEEPPYYYYYY,neu
1017,just checked library website and girl with dragon tattoo is checked out,neu
332,ALO is so sad and quiet and 0 tonight,neg
1108,you might want to get some rest ... i promise you wont retain the knowledge sleepy,pos
2997,Geography papers are so boring I 0 revision,neg
2359,HOW COME ITS SO HARD TO FIND A GUY WITH THE SAME PASSION FOR 1 AS FOR A WOMAN AM I EVER GOING TO SEE THE DAY IM lonely yall,neg
2752,i miss the Soulja Boy dance ...,neg
320,Hanging out with sam billy and veronica not going to school tomorrow to take sam to body shops Dang car accidents,neg
1136,Hospitals unnerve me waiting for the Doc flipping thru magazines,neu
2175,stuck in huge traffic jam,pos
2683,yeah ... but I finish go home get changed etc etc then im off again,pos
2692,hurt done trying ..,neg
1003,oh no the economy gotcha sorry but so happy that you got another one in LA Enjoy SoCal Ahahaay LOL,pos
1564,dont undrstand malaysian busays.just english tagalog at waray only,neu
503,PGPM student from where I myself was a PGPM student about 4 years back I wish I could stay one,pos
463,on jacksonville beach walking in the cold Ass water but have to work in the morning ily lt,pos
1495,why do i have to wake up so early goddam 7.30 on my last day off bummer,neg
878,absolutely nothin,neu
98,PrinceCharming,neu
997,Bummed that F F F broke up,neg
2541,Bubble tea is awesome it's been so long since I've had some,pos
1547,Headache from last night has morphed in to a hangover and now it's time to drive down the motorway ... to Wolverhampton WHY OH WHY,neu
